幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,29.69500,30.04500,30.03200,30.00500,29.97300,29.94100,29.90500,29.87100,29.83200,本行賣出,30.36500,30.14500,30.13600,30.11900,30.08800,30.05500,30.02500,29.99900,29.97800,
HKD,本行買入,3.71900,3.84500,3.84300,3.83800,3.83100,3.82600,3.82000,3.81400,3.80800,本行賣出,3.92300,3.90500,3.90400,3.90100,3.89500,3.89000,3.88500,3.88100,3.87700,
GBP,本行買入,38.03000,39.03000,39.02200,39.00600,38.99000,38.97800,38.95700,38.93700,38.91700,本行賣出,40.15000,39.45000,39.45100,39.45200,39.43900,39.42800,39.42400,39.42000,39.41600,
AUD,本行買入,19.90000,20.17000,20.16600,20.15700,20.14600,20.12700,20.11400,20.10100,20.08700,本行賣出,20.68000,20.40000,20.39900,20.39800,20.38700,20.37700,20.37300,20.36900,20.36300,
CAD,本行買入,22.14000,22.53000,22.51900,22.49800,22.46800,22.44500,22.41500,22.38500,22.35500,本行賣出,23.05000,22.75000,22.74500,22.73400,22.70600,22.68300,22.66200,22.64200,22.62200,
SGD,本行買入,21.22000,21.71000,21.70000,21.68100,21.65500,21.63700,21.61200,21.58800,21.56300,本行賣出,22.13000,21.89000,21.88500,21.87600,21.85400,21.83500,21.81900,21.80400,21.78900,
CHF,本行買入,30.26000,30.92000,30.92400,30.93300,30.96500,30.99100,31.01300,31.03400,31.05600,本行賣出,31.46000,31.21000,31.22500,31.25500,31.29100,31.31800,31.35600,31.39400,31.43300,
JPY,本行買入,0.26600,0.27330,0.27330,0.27330,0.27350,0.27360,0.27370,0.27370,0.27380,本行賣出,0.27880,0.27730,0.27740,0.27760,0.27790,0.27800,0.27820,0.27840,0.27860,
ZAR,本行買入,0.00000,1.98900,1.98500,1.97700,1.96600,1.95600,1.94500,1.93500,1.92400,本行賣出,0.00000,2.06900,2.06600,2.06100,2.04900,2.04000,2.03000,2.02000,2.01000,
SEK,本行買入,2.75000,3.09000,3.09000,3.09000,3.09000,3.09100,3.09100,3.09100,3.09100,本行賣出,3.27000,3.19000,3.19100,3.19200,3.19400,3.19400,3.19500,3.19700,3.19800,
NZD,本行買入,19.04000,19.42000,19.41200,19.39500,19.37800,19.36400,19.34500,19.32600,19.30600,本行賣出,19.89000,19.62000,19.62000,19.61900,19.60300,19.59000,19.57900,19.56800,19.55700,
THB,本行買入,0.84290,0.95150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.03090,0.99150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.51750,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.65050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00188,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00258,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,32.40000,33.02000,33.02200,33.02500,33.04600,33.06600,33.08300,33.10000,33.11700,本行賣出,33.74000,33.42000,33.43700,33.47000,33.49900,33.52900,33.56500,33.60000,33.63500,
KRW,本行買入,0.02354,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02744,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00092,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00142,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.17600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.82000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.19900,4.27100,4.26680,4.25830,4.24960,4.24070,4.23150,4.22230,4.21310,本行賣出,4.36100,4.32100,4.31880,4.31450,4.30760,4.30060,4.29450,4.28850,4.28250,
