幣別        匯率             現金        即期        遠期10天        遠期30天        遠期60天        遠期90天       遠期120天       遠期150天       遠期180天 匯率             現金        即期        遠期10天        遠期30天        遠期60天        遠期90天       遠期120天       遠期150天       遠期180天
USD         本行買入     29.59000    29.94000        29.92700        29.90000        29.86800        29.83600        29.80000        29.76600        29.72700 本行賣出     30.26000    30.04000        30.03100        30.01400        29.98300        29.95000        29.92000        29.89400        29.87300
HKD         本行買入      3.70600     3.83200         3.83000         3.82500         3.81800         3.81300         3.80700         3.80100         3.79500 本行賣出      3.91000     3.89200         3.89100         3.88800         3.88200         3.87700         3.87200         3.86800         3.86400
GBP         本行買入     37.75000    38.75000        38.74200        38.72600        38.71000        38.69800        38.67700        38.65700        38.63700 本行賣出     39.87000    39.17000        39.17100        39.17200        39.15900        39.14800        39.14400        39.14000        39.13600
AUD         本行買入     19.87000    20.14000        20.13600        20.12700        20.11600        20.09700        20.08400        20.07100        20.05700 本行賣出     20.65000    20.37000        20.36900        20.36800        20.35700        20.34700        20.34300        20.33900        20.33300
CAD         本行買入     22.08000    22.47000        22.45900        22.43800        22.40800        22.38500        22.35500        22.32500        22.29500 本行賣出     22.99000    22.69000        22.68500        22.67400        22.64600        22.62300        22.60200        22.58200        22.56200
SGD         本行買入     21.06000    21.55000        21.54000        21.52100        21.49500        21.47700        21.45200        21.42800        21.40300 本行賣出     21.97000    21.73000        21.72500        21.71600        21.69400        21.67500        21.65900        21.64400        21.62900
CHF         本行買入     29.98000    30.64000        30.64400        30.65300        30.68500        30.71100        30.73300        30.75400        30.77600 本行賣出     31.18000    30.93000        30.94500        30.97500        31.01100        31.03800        31.07600        31.11400        31.15300
JPY         本行買入      0.26370     0.27100         0.27100         0.27100         0.27120         0.27130         0.27140         0.27140         0.27150 本行賣出      0.27650     0.27500         0.27510         0.27530         0.27560         0.27570         0.27590         0.27610         0.27630
ZAR         本行買入      0.00000     1.99300         1.98900         1.98100         1.97000         1.96000         1.94900         1.93900         1.92800 本行賣出      0.00000     2.07300         2.07000         2.06500         2.05300         2.04400         2.03400         2.02400         2.01400
SEK         本行買入      2.74000     3.08000         3.08000         3.08000         3.08000         3.08100         3.08100         3.08100         3.08100 本行賣出      3.26000     3.18000         3.18100         3.18200         3.18400         3.18400         3.18500         3.18700         3.18800
NZD         本行買入     18.93000    19.31000        19.30200        19.28500        19.26800        19.25400        19.23500        19.21600        19.19600 本行賣出     19.78000    19.51000        19.51000        19.50900        19.49300        19.48000        19.46900        19.45800        19.44700
THB         本行買入      0.84250     0.95110         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      1.03050     0.99110         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
PHP         本行買入      0.51680     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      0.64980     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
IDR         本行買入      0.00188     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      0.00258     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
EUR         本行買入     32.17000    32.79000        32.79200        32.79500        32.81600        32.83600        32.85300        32.87000        32.88700 本行賣出     33.51000    33.19000        33.20700        33.24000        33.26900        33.29900        33.33500        33.37000        33.40500
KRW         本行買入      0.02361     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      0.02751     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
VND         本行買入      0.00092     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      0.00142     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
MYR         本行買入      6.16200     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      7.80600     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
CNY         本行買入      4.20000     4.27200         4.26780         4.25930         4.25060         4.24170         4.23250         4.22330         4.21410 本行賣出      4.36200     4.32200         4.31980         4.31550         4.30860         4.30160         4.29550         4.28950         4.28350
